reg_number,name,department,gender,student_type,phone,email,sslc_percentage,hsc_percentage,ug_percentage,pg_percentage,github_link,linkedin_link,resume_url,self_intro_link,photo_url,portfolio_link,year_of_graduation,placement_status,placed_company,ctc_lpa
RCAS2024BCY046,INBAVARUNAN S,Cyber Security,Male,Hostel,9876543210,inbavarunans.bcy24@rathinam.in,91.2,89.5,82.4,,https://github.com/inba-web,https://www.linkedin.com/in/inbavarunan-s,https://drive.google.com/file/d/1CvljA9jVEZBUpF7dC4IQX-I6rn3CjM2m/view?usp=drive_link,,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=400&q=80,https://inbavarunan-portfolio.vercel.app,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCY002,Sneha D,Cyber Security,Female,Hostel,9876565302,snehad.bcy24@rathinam.in,80.1,91.3,84.5,,https://github.com/sneha-bcy,https://www.linkedin.com/in/sneha-d,https://drive.google.com/file/d/1Resume_RCAS2024BCY002_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=400&q=80,https://sneha.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA003,Mythili B,Business Administration,Female,Hostel,9876565392,mythilib.bba24@rathinam.in,83.7,94.1,89.5,,https://github.com/mythili-bba,https://www.linkedin.com/in/mythili-b,https://drive.google.com/file/d/1Resume_RCAS2024BBA003_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1517841905240-472988babdf9?auto=format&fit=crop&w=400&q=80,https://mythili.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BCY004,Naveen V,Cyber Security,Male,Day Scholar,9876520328,naveenv.bcy24@rathinam.in,93.0,86.8,94.4,,https://github.com/naveen-bcy,https://www.linkedin.com/in/naveen-v,https://drive.google.com/file/d/1Resume_RTC2024BCY004_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?auto=format&fit=crop&w=400&q=80,https://naveen.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BIT005,Gautham S,Information Technology,Male,Day Scholar,9876593320,gauthams.bit24@rathinam.in,95.5,94.1,80.7,,https://github.com/gautham-bit,https://www.linkedin.com/in/gautham-s,https://drive.google.com/file/d/1Resume_RTC2024BIT005_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?auto=format&fit=crop&w=400&q=80,https://gautham.portfolio.dev,2025,YTPP,,
RTC2024BCS006,Barath P,Computer Science,Male,Hostel,9876583000,barathp.bcs24@rathinam.in,92.9,78.6,80.7,,https://github.com/barath-bcs,https://www.linkedin.com/in/barath-p,https://drive.google.com/file/d/1Resume_RTC2024BCS006_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?auto=format&fit=crop&w=400&q=80,https://barath.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCY007,Archana A,Cyber Security,Female,Day Scholar,9876561856,archanaa.bcy24@rathinam.in,89.6,90.8,76.9,,https://github.com/archana-bcy,https://www.linkedin.com/in/archana-a,https://drive.google.com/file/d/1Resume_RCAS2024BCY007_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?auto=format&fit=crop&w=400&q=80,https://archana.portfolio.dev,2025,YTPP,,
RCAS2024BBA008,Manoj K,Business Administration,Male,Day Scholar,9876576784,manojk.bba24@rathinam.in,86.8,87.8,80.3,,https://github.com/manoj-bba,https://www.linkedin.com/in/manoj-k,https://drive.google.com/file/d/1Resume_RCAS2024BBA008_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=400&q=80,https://manoj.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS009,Subhashini N,Computer Science,Female,Day Scholar,9876599166,subhashinin.bcs24@rathinam.in,87.6,80.5,84.7,,https://github.com/subhashini-bcs,https://www.linkedin.com/in/subhashini-n,https://drive.google.com/file/d/1Resume_RCAS2024BCS009_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=400&q=80,https://subhashini.portfolio.dev,2025,YTPP,,
RCAS2024BCY010,Lavanya L,Cyber Security,Female,Hostel,9876575612,lavanyal.bcy24@rathinam.in,87.3,96.0,92.1,,https://github.com/lavanya-bcy,https://www.linkedin.com/in/lavanya-l,https://drive.google.com/file/d/1Resume_RCAS2024BCY010_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1517841905240-472988babdf9?auto=format&fit=crop&w=400&q=80,https://lavanya.portfolio.dev,2025,YTPP,,
RTC2024BBA011,Nandhakumar P,Business Administration,Male,Hostel,9876510074,nandhakumarp.bba24@rathinam.in,93.6,86.9,89.9,,https://github.com/nandhakumar-bba,https://www.linkedin.com/in/nandhakumar-p,https://drive.google.com/file/d/1Resume_RTC2024BBA011_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?auto=format&fit=crop&w=400&q=80,https://nandhakumar.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
